address,lendedUsd,nbOfLiquidations,usdLostToLiquidations
0x05e3…38b0,281250.2416433309,0,0
0x05ef…95dc,74413.16818306048,0,0
0x05fb…6f34,22979.586568317307,1,210.61389573
0x05fe…6a0b,167620.77333301457,0,0
0x0606…51f5,4978.11512633421,0,0
0x060d…b5ac,165.0978543283883,0,0
0x0617…ed23,6465.550367445991,0,0
0x0618…b236,18375329.86977512,0,0
0x0627…cff2,337.51016748018867,7,1095.2133280453654
0x062d…8432,25338.345836998287,0,0
0x0636…3634,4873.673569441124,0,0
0x0637…ce0f,372030.90970798675,0,0
0x0639…1ea4,8565.735515740886,0,0
0x065a…cedb,586.7246798678791,0,0
0x0660…bedc,26415.65669254213,0,0
0x0662…bb40,144.930937117694,0,0
0x066a…9550,1024.929562,0,0
0x0672…9462,10131.471620144219,0,0
0x0673…7580,8528.46514746576,6,1080.955134640681
0x0674…4811,52724.271391581,0,0
0x067e…eb2a,1598.3012199999998,0,0
0x0688…d8b0,165.0978543283883,0,0
0x0689…0435,332176.7911100219,0,0
0x06af…1d6c,52671.9502462054,0,0
0x06b1…73e4,115.56849802987182,0,0
0x06b4…c420,3531.090642408246,3,722.8710685018406
0x06bc…156e,136.49029202076818,0,0
0x06cb…5427,4296.465342702585,0,0
0x06cf…e7ff,158703.94591283135,0,0
0x06d7…8777,144.4058567441415,17,3365.780514865148
0x06da…ac23,657.9348305988899,0,0
0x06e4…c47e,660.6567347930626,0,0
0x06ed…7f2f,7168.9538476022135,0,0
0x06f2…4dcd,247.64678149258248,0,0
0x06fe…36a4,1520.6313686973608,0,0
0x0701…eabe,330.1957086567766,0,0
0x070d…7300,10337.410801834276,0,0
0x071f…5e1e,3875.2170571915153,0,0
0x0723…3b20,51867.843193622866,0,0
0x0740…b550,253083.24328978977,0,0
0x0743…d5cb,220.45590491703626,0,0
0x0778…62e2,13996.176287976044,0,0
0x077f…8d70,500.1152076410578,0,0
0x0793…5fb6,82548.92716419416,0,0
0x07a5…b597,3895.1576305014014,0,0
0x07a6…68cf,717457.9895457044,0,0
0x07c2…b53d,34959.111122692164,3,6828.944599398317
0x07cb…b9f1,20487.63475219139,0,0
0x07d2…a3f5,204.20198888224905,0,0
0x07d9…f356,75967.37650603963,0,0
0x07dc…84f9,109930.98139884023,0,0
0x07eb…f8c2,1338.142091347481,0,0
0x07ed…4dc8,27665197.765271734,0,0
0x07f0…f757,175433.62866125634,0,0
0x07f0…089e,132.07828346271066,0,0
0x07f2…5cf5,429.5628284700273,4,170.46392302453927
0x07fb…9316,168.39981141495608,0,0
0x080e…82ad,33530.636110427935,0,0
